game_id,game_date,attendance,game_time
29600191,19961127000000,14189.0,201
29600190,19961127000000,15195.0,201
29600196,19961127000000,7006.0,206
29600195,19961127000000,19023.0,204
29600192,19961127000000,16173.0,213
29600193,19961127000000,13797.0,210
29600198,19961128000000,15209.0,233
29600207,19961129000000,21068.0,213
29600203,19961129000000,15488.0,211
29600205,19961129000000,12129.0,218
29600206,19961129000000,19381.0,208
29600208,19961129000000,17072.0,209
29600204,19961129000000,18042.0,204
29600200,19961129000000,15489.0,200
29600199,19961129000000,18624.0,155
29600201,19961129000000,12457.0,157
29600212,19961130000000,15112.0,204
29600210,19961130000000,13038.0,205
29600217,19961130000000,11519.0,304
29600214,19961130000000,16327.0,160
29600213,19961130000000,19351.0,205
29600209,19961130000000,19763.0,209
29600216,19961130000000,37058.0,159
29600215,19961130000000,18679.0,209
29600211,19961130000000,18756.0,200
29600220,19961201000000,12510.0,213
29600219,19961201000000,15684.0,221
29600218,19961201000000,14063.0,205
29600224,19961202000000,19410.0,206
29600222,19961202000000,16753.0,239
29600223,19961202000000,17108.0,216
29600233,19961203000000,20083.0,245
29600232,19961203000000,12347.0,158
29600227,19961203000000,13494.0,203
29600225,19961203000000,19763.0,216
29600231,19961203000000,17505.0,216
29600230,19961203000000,5755.0,211
29600229,19961203000000,11191.0,207
29600237,19961204000000,14574.0,156
29600238,19961204000000,16285.0,205
29600242,19961204000000,15699.0,201
29600236,19961204000000,14658.0,201
29600235,19961204000000,16632.0,205
29600234,19961204000000,20049.0,231
29600240,19961204000000,19911.0,204
29600239,19961204000000,12968.0,210
29600241,19961204000000,19023.0,207
29600243,19961205000000,15222.0,207
29600244,19961205000000,23687.0,152
29600246,19961205000000,9679.0,210
29600245,19961205000000,13443.0,214
29600249,19961206000000,15200.0,227
29600251,19961206000000,13646.0,205
29600252,19961206000000,19911.0,211
29600248,19961206000000,15815.0,240
29600254,19961206000000,14164.0,206
29600250,19961206000000,17806.0,206
29600255,19961206000000,17317.0,225
29600263,19961207000000,16285.0,000
29600257,19961207000000,19763.0,219
29600260,19961207000000,11422.0,206
29600261,19961207000000,23861.0,212
29600262,19961207000000,15102.0,201
29600258,19961207000000,12018.0,152
29600270,19961208000000,15212.0,215
29600267,19961208000000,13732.0,206
29600268,19961208000000,13350.0,156
29600266,19961208000000,33385.0,212
29600272,19961208000000,17317.0,156
29600271,19961208000000,13057.0,160
29600269,19961208000000,19023.0,215
29600273,19961209000000,15505.0,205
29600274,19961209000000,15780.0,156
29600279,19961210000000,13202.0,204
29600281,19961210000000,19911.0,214
29600283,19961210000000,5174.0,208
29600275,19961210000000,19763.0,201
29600284,19961210000000,17317.0,218
29600280,19961210000000,14627.0,217
29600278,19961210000000,14361.0,210
29600287,19961211000000,14279.0,203
29600290,19961211000000,24042.0,215
29600286,19961211000000,14760.0,308
29600291,19961211000000,23505.0,158
29600288,19961211000000,13201.0,220
29600298,19961212000000,17317.0,208
29600294,19961212000000,16355.0,219
29600293,19961212000000,19763.0,203
29600299,19961212000000,20042.0,204
29600296,19961212000000,19911.0,205
29600304,19961213000000,15569.0,220
29600301,19961213000000,18756.0,152
29600303,19961213000000,15410.0,220
29600306,19961213000000,16315.0,234
29600302,19961213000000,24042.0,200
29600307,19961213000000,15954.0,217
29600300,19961213000000,20049.0,159
29600305,19961213000000,17097.0,216
29600310,19961214000000,12473.0,203
29600308,19961214000000,19763.0,207
29600311,19961214000000,23771.0,210
29600315,19961214000000,19911.0,157
29600317,19961214000000,17072.0,212
29600313,19961214000000,14873.0,209
29600314,19961214000000,16548.0,203
29600309,19961214000000,14712.0,217
29600312,19961214000000,16689.0,205
29600319,19961215000000,19023.0,156
29600318,19961215000000,18545.0,205
29600321,19961215000000,21318.0,215
29600320,19961215000000,16005.0,211
29600325,19961216000000,17317.0,204
29600322,19961216000000,15030.0,159
29600324,19961216000000,12049.0,243
29600323,19961216000000,16546.0,212
29600329,19961217000000,14498.0,214
29600331,19961217000000,14805.0,158
29600333,19961217000000,16205.0,211
29600330,19961217000000,23919.0,256
29600328,19961217000000,12720.0,204
