person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
79288,RonLivingston,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,StMarysCA,CollegeUniversity,0
79289,DanMiller,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,SaintLouis,CollegeUniversity,0
79290,CarlReichert,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Findlay,CollegeUniversity,0
79291,TomTomlinson,1947,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,SouthernMethodist,CollegeUniversity,0
79292,NormanButz,1947,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,SaintJosephs,CollegeUniversity,0
79293,JimKaeding,1947,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,YorkPA,CollegeUniversity,0
79294,EdKoffenberger,1947,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,Duke,CollegeUniversity,0
79295,BobAlamo,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,SantaClara,CollegeUniversity,0
79297,DickIves,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,Iowa,CollegeUniversity,0
79298,HermanKnoche,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,WashingtonJefferson,CollegeUniversity,0
79300,JackWalton,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,DePaul,CollegeUniversity,0
79303,DickFurey,1947,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,StThomasMN,CollegeUniversity,0
79304,BobJoyce,1947,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,Bates,CollegeUniversity,0
79305,RoyLipscomb,1947,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,StMarysMD,CollegeUniversity,0
79306,JohnMills,1947,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,Hofstra,CollegeUniversity,0
79307,AlNichols,1947,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,RhodeIsland,CollegeUniversity,0
79308,JackKnopf,1947,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Louisville,CollegeUniversity,0
79309,BobKurland,1947,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,OklahomaState,CollegeUniversity,0
79310,BillStrannigan,1947,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Wyoming,CollegeUniversity,0
77014,JackHewson,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Temple,CollegeUniversity,1
76161,HankBiasatti,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,LongIslandBrooklyn,CollegeUniversity,1
78353,AndyTonkovich,1948,1,1,1,Draft,1610610032,Providence,Steamrollers,PRO,Marshall,CollegeUniversity,1
79374,GeorgeKok,1948,1,2,2,Draft,1610610029,Indianapolis,Jets,JET,Arkansas,CollegeUniversity,0
79327,GeorgeHauptfuhrer,1948,1,3,3,Draft,1610612738,Boston,Celtics,BOS,Harvard,CollegeUniversity,0
78076,DolphSchayes,1948,1,4,4,Draft,1610612752,NewYork,Knicks,NYK,NewYorkUniversity,CollegeUniversity,1
77590,EdMikan,1948,1,5,5,Draft,1610610025,Chicago,Stags,CHS,DePaul,CollegeUniversity,1
76298,WalterBudko,1948,1,6,6,Draft,1610610024,Baltimore,Bullets,BAL,Columbia,CollegeUniversity,1
79351,RobertGale,1948,1,7,7,Draft,1610610034,StLouis,Bombers,BOM,Cornell,CollegeUniversity,0
78573,WardWilliams,1948,1,8,8,Draft,1610612765,FtWayneZollner,Pistons,FTW,Indiana,CollegeUniversity,1
79378,ChuckHanger,1948,1,9,9,Draft,1610612747,Minneapolis,Lakers,MNL,California,CollegeUniversity,0
78453,BobbyWanzer,1948,1,10,10,Draft,1610612758,Rochester,Royals,ROC,SetonHall,CollegeUniversity,1
77918,DonRay,1948,1,11,11,Draft,1610612744,Philadelphia,Warriors,PHW,WesternKentucky,CollegeUniversity,1
77713,JackNichols,1948,1,12,12,Draft,1610610036,Washington,Capitols,WAS,Washington,CollegeUniversity,1
79381,JuniorSkogland,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,GustavusAdolphus,CollegeUniversity,0
79382,QuentinStinson,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,SouthernIllinois,CollegeUniversity,0
79380,BobLowther,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,LouisianaState,CollegeUniversity,0
79383,AlexAthas,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,Tulane,CollegeUniversity,0
79384,EdKeim,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,Niagara,CollegeUniversity,0
79379,KenJastrow,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,Denver,CollegeUniversity,0
79377,CliffCrandall,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,OregonState,CollegeUniversity,0
79386,HankOKeefe,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,Canisius,CollegeUniversity,0
79387,WarrenStickel,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,Syracuse,CollegeUniversity,0
79388,PaulYesavi,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,Niagara,CollegeUniversity,0
77529,MelMcGaha,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Arkansas,CollegeUniversity,1
79376,JackPhoenix,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,Idaho,CollegeUniversity,0
77616,MurrayMitchell,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,SamHoustonState,CollegeUniversity,1
77769,JohnnyOrr,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,Beloit,CollegeUniversity,1
79375,BobPaxton,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,NorthCarolina,CollegeUniversity,0
77797,EstesParham,1948,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,TexasWesleyan,CollegeUniversity,1
77801,JackParkinson,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Kentucky,CollegeUniversity,1
77841,EdPeterson,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Cornell,CollegeUniversity,1
77889,RoyPugh,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,SouthernMethodist,CollegeUniversity,1
79385,LionelMelamed,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,CityCollegeofNewYork,CollegeUniversity,0
77968,GoebelRitter,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,EasternKentucky,CollegeUniversity,1
78012,KennyRollins,1948,0,0,0,Draft,1610612765,FtWayneZollner,Pistons,FTW,Kentucky,CollegeUniversity,1
76937,AlexHannum,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,SouthernCalifornia,CollegeUniversity,1
76974,MarshallHawkins,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Tennessee,CollegeUniversity,1
77041,JoeHolland,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Kentucky,CollegeUniversity,1
77217,EdwinKachan,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,DePaul,CollegeUniversity,1
77226,LeoKatkaveck,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,NorthCarolinaState,CollegeUniversity,1
77238,TomKelly,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,NewYorkUniversity,CollegeUniversity,1
77303,AndyKostecka,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,Georgetown,CollegeUniversity,1
77309,DanKraus,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Georgetown,CollegeUniversity,1
77310,HerbKrautblatt,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Rider,CollegeUniversity,1
77317,LeoKubiak,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,BowlingGreen,CollegeUniversity,1
77425,RayLumpp,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,NewYorkUniversity,CollegeUniversity,1
77436,JohnnyMacknowski,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,SetonHall,CollegeUniversity,1
76306,JackBurmaster,1948,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Illinois,CollegeUniversity,1
76359,JakeCarter,1948,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,TexasAMCommerce,CollegeUniversity,1
76414,JackColeman,1948,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,Louisville,CollegeUniversity,1
76438,BobbyCook,1948,0,0,0,Draft,1610612765,FtWayneZollner,Pistons,FTW,Wisconsin,CollegeUniversity,1
76571,JohnDillon,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,NorthCarolina,CollegeUniversity,1
