game_date_est,game_sequence,game_id,game_status_id,game_status_text,gamecode,home_team_id,visitor_team_id,season,live_period,live_pc_time,natl_tv_broadcaster_abbreviation,live_period_time_bcast,wh_status
20211129000000,2.0,22100306,3,Final,20211129DENMIA,1610612748,1610612743,2021,4,,NBATV,Q4NBATV,1
20211130000000,1.0,22100314,3,Final,20211130NYKBKN,1610612751,1610612752,2021,4,,TNT,Q4TNT,1
20211201000000,9.0,22100327,3,Final,20211201SACLAC,1610612746,1610612758,2021,4,,NBATV,Q4NBATV,1
20211201000000,4.0,22100322,3,Final,20211201PHIBOS,1610612738,1610612755,2021,4,,NBATV,Q4NBATV,1
20211202000000,5.0,22100332,3,Final,20211202SASPOR,1610612757,1610612759,2021,4,,NBATV,Q4NBATV,1
20211202000000,1.0,22100328,3,Final,20211202CHINYK,1610612752,1610612741,2021,4,,NBATV,Q4NBATV,1
20211203000000,8.0,22100340,3,Final,20211203PHXGSW,1610612744,1610612756,2021,4,,ESPN,Q4ESPN,1
20211203000000,3.0,22100335,3,Final,20211203PHIATL,1610612737,1610612755,2021,4,,ESPN,Q4ESPN,1
20211206000000,2.0,22100354,3,Final,20211206OKCDET,1610612765,1610612760,2021,4,,NBATV,Q4NBATV,1
20211207000000,1.0,22100363,3,Final,20211207BKNDAL,1610612742,1610612751,2021,4,,TNT,Q4TNT,1
20211208000000,11.0,22100376,3,Final,20211208PORGSW,1610612744,1610612757,2021,4,,ESPN,Q4ESPN,1
20211208000000,5.0,22100370,3,Final,20211208MILMIA,1610612748,1610612749,2021,4,,ESPN,Q4ESPN,1
20211209000000,1.0,22100379,3,Final,20211209UTAPHI,1610612755,1610612762,2021,4,,NBATV,Q4NBATV,1
20211210000000,3.0,22100384,3,Final,20211210BKNATL,1610612737,1610612751,2021,4,,ESPN,Q4ESPN,1
20211210000000,9.0,22100390,3,Final,20211210BOSPHX,1610612756,1610612738,2021,4,,ESPN,Q4ESPN,1
20211213000000,9.0,22100412,3,Final,20211213PHXLAC,1610612746,1610612756,2021,4,,NBATV,Q4NBATV,1
20211213000000,2.0,22100405,3,Final,20211213GSWIND,1610612754,1610612744,2021,4,,NBATV,Q4NBATV,1
20211214000000,4.0,22100416,3,Final,20211214PHXPOR,1610612757,1610612756,2021,5,,TNT,Q5TNT,1
20211215000000,4.0,22100420,3,Final,20211215LALDAL,1610612742,1610612747,2021,5,,ESPN,Q5ESPN,1
20211215000000,9.0,22100425,3,Final,20211215LACUTA,1610612762,1610612746,2021,4,,ESPN,Q4ESPN,1
20211217000000,6.0,22100436,3,Final,20211217LALMIN,1610612750,1610612747,2021,4,,ESPN,Q4ESPN,1
20211217000000,3.0,22100435,3,Final,20211217GSWBOS,1610612738,1610612744,2021,4,,ESPN,Q4ESPN,1
20211221000000,6.0,22100469,3,Final,20211221PHXLAL,1610612747,1610612756,2021,4,,TNT,Q4TNT,1
20211222000000,1.0,22100470,3,Final,20211222ORLATL,1610612737,1610612753,2021,4,,NBATV,Q4NBATV,1
20211223000000,6.0,22100481,3,Final,20211223MILDAL,1610612742,1610612749,2021,4,,NBATV,Q4NBATV,1
20211225000000,2.0,22100489,3,Final,20211225BOSMIL,1610612749,1610612738,2021,4,,ABC,Q4ABC,1
20211225000000,5.0,22100492,3,Final,20211225DALUTA,1610612762,1610612742,2021,4,,ESPN,Q4ESPN,1
20211225000000,1.0,22100488,3,Final,20211225ATLNYK,1610612752,1610612737,2021,4,,ESPN,Q4ESPN,1
20211226000000,7.0,22100499,3,Final,20211226INDCHI,1610612741,1610612754,2021,4,,NBATV,Q4NBATV,1
20211227000000,7.0,22100507,3,Final,20211227BKNLAC,1610612746,1610612751,2021,4,,NBATV,Q4NBATV,1
20211230000000,1.0,22100525,3,Final,20211230PHIBKN,1610612751,1610612755,2021,4,,NBATV,Q4NBATV,1
20211231000000,10.0,22100538,3,Final,20211231PORLAL,1610612747,1610612757,2021,4,,NBATV,Q4NBATV,1
20220101000000,6.0,22100544,3,Final,20220101GSWUTA,1610612762,1610612744,2021,4,,NBATV,Q4NBATV,1
20220102000000,3.0,22100547,3,Final,20220102INDCLE,1610612739,1610612754,2021,4,,NBATV,Q4NBATV,1
20220103000000,3.0,22100554,3,Final,20220103MEMBKN,1610612751,1610612763,2021,4,,NBATV,Q4NBATV,1
20220103000000,8.0,22100559,3,Final,20220103MIAGSW,1610612744,1610612748,2021,4,,NBATV,Q4NBATV,1
20220104000000,3.0,22100564,3,Final,20220104INDNYK,1610612752,1610612754,2021,4,,NBATV,Q4NBATV,1
20220105000000,9.0,22100575,3,Final,20220105UTADEN,1610612743,1610612762,2021,4,,ESPN,Q4ESPN,1
20220105000000,6.0,22100572,3,Final,20220105GSWDAL,1610612742,1610612744,2021,4,,ESPN,Q4ESPN,1
20220106000000,4.0,22100581,3,Final,20220106LACPHX,1610612756,1610612746,2021,4,,TNT,Q4TNT,1
20220107000000,8.0,22100589,3,Final,20220107ATLLAL,1610612747,1610612737,2021,4,,ESPN,Q4ESPN,1
20220107000000,2.0,22100583,3,Final,20220107MILBKN,1610612751,1610612749,2021,4,,ESPN,Q4ESPN,1
20220108000000,5.0,22100595,3,Final,20220108NYKBOS,1610612738,1610612752,2021,4,,NBATV,Q4NBATV,1
20220109000000,8.0,22100604,3,Final,20220109CLEGSW,1610612744,1610612739,2021,4,,NBATV,Q4NBATV,1
20220110000000,1.0,22100607,3,Final,20220110MILCHA,1610612766,1610612749,2021,4,,NBATV,Q4NBATV,1
20220112000000,8.0,22100625,3,Final,20220112BKNCHI,1610612741,1610612751,2021,4,,ESPN,Q4ESPN,1
20220113000000,5.0,22100631,3,Final,20220113PORDEN,1610612743,1610612757,2021,4,,TNT,Q4TNT,1
20220113000000,1.0,22100627,3,Final,20220113GSWMIL,1610612749,1610612744,2021,4,,TNT,Q4TNT,1
20220114000000,5.0,22100637,3,Final,20220114GSWCHI,1610612741,1610612744,2021,4,,ESPN,Q4ESPN,1
20220117000000,5.0,22100658,3,Final,20220117CHIMEM,1610612763,1610612741,2021,4,,TNT,Q4TNT,1
20220117000000,7.0,22100660,3,Final,20220117MILATL,1610612737,1610612749,2021,4,,TNT,Q4TNT,1
20220117000000,12.0,22100665,3,Final,20220117UTALAL,1610612747,1610612762,2021,4,,NBATV,Q4NBATV,1
20220118000000,1.0,22100666,3,Final,20220118MINNYK,1610612752,1610612750,2021,4,,NBATV,Q4NBATV,1
20220119000000,11.0,22100678,3,Final,20220119LACDEN,1610612743,1610612746,2021,5,,ESPN,Q5ESPN,1
20220119000000,4.0,22100671,3,Final,20220119CHABOS,1610612738,1610612766,2021,4,,ESPN,Q4ESPN,1
20220120000000,2.0,22100682,3,Final,20220120PHXDAL,1610612742,1610612756,2021,4,,TNT,Q4TNT,1
20220120000000,3.0,22100683,3,Final,20220120INDGSW,1610612744,1610612754,2021,5,,TNT,Q5TNT,1
20220121000000,7.0,22100690,3,Final,20220121CHIMIL,1610612749,1610612741,2021,4,,ESPN,Q4ESPN,1
20220123000000,11.0,22100708,3,Final,20220123UTAGSW,1610612744,1610612762,2021,4,,NBATV,Q4NBATV,1
20220124000000,4.0,22100713,3,Final,20220124UTAPHX,1610612756,1610612762,2021,4,,NBATV,Q4NBATV,1
20220125000000,6.0,22100718,3,Final,20220125LALBKN,1610612751,1610612747,2021,4,,TNT,Q4TNT,1
20220125000000,8.0,22100720,3,Final,20220125DALGSW,1610612744,1610612742,2021,4,,TNT,Q4TNT,1
20220128000000,2.0,22100735,3,Final,20220128LALCHA,1610612766,1610612747,2021,4,,ESPN,Q4ESPN,1
20220131000000,4.0,22100762,3,Final,20220131MIABOS,1610612738,1610612748,2021,4,,NBATV,Q4NBATV,1
20220201000000,2.0,22100768,3,Final,20220201WASMIL,1610612749,1610612764,2021,4,,TNT,Q4TNT,1
20220201000000,7.0,22100772,3,Final,20220201BKNPHX,1610612756,1610612751,2021,4,,TNT,Q4TNT,1
20220204000000,1.0,22100787,3,Final,20220204CLECHA,1610612766,1610612739,2021,4,,NBATV,Q4NBATV,1
20220205000000,4.0,22100799,3,Final,20220205NYKLAL,1610612747,1610612752,2021,5,,ABC,Q5ABC,1
20220206000000,6.0,22100807,3,Final,20220206ATLDAL,1610612742,1610612737,2021,4,,ESPN,Q4ESPN,1
